"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 09 18:49:52 UTC 2025","Tue Dec 09 18:49:52 UTC 2025","47","Regression Testing","Regression Testing","com.gecom.NotificationsTest.MarkNotifications","com.gecom.NotificationsTest.MarkNotifications","testMarkNotificationAsReadFailsForNonExistent","TC-NOTIF-005: Verify mark notification as read fails for non-existent notification",""
"passed","Tue Dec 09 18:49:52 UTC 2025","Tue Dec 09 18:49:52 UTC 2025","58","Regression Testing","Regression Testing","com.gecom.NotificationsTest.GetNotifications","com.gecom.NotificationsTest.GetNotifications","testUserCanGetNotifications","TC-NOTIF-002: Verify user can get their notifications",""
"passed","Tue Dec 09 18:49:41 UTC 2025","Tue Dec 09 18:49:42 UTC 2025","54","Regression Testing","Regression Testing","com.gecom.ProductsTest.GetProducts","com.gecom.ProductsTest.GetProducts","testFilterProductsWithMultipleCriteria","TC-PROD-005: Verify filter products with multiple criteria",""
"passed","Tue Dec 09 18:49:53 UTC 2025","Tue Dec 09 18:49:53 UTC 2025","54","Regression Testing","Regression Testing","com.gecom.SearchTest.AdvanceSearch","com.gecom.SearchTest.AdvanceSearch","testAdvancedSearchWithFilters","TC-SEARCH-001: Verify advanced product search with filters",""
"passed","Tue Dec 09 18:49:40 UTC 2025","Tue Dec 09 18:49:40 UTC 2025","53","Regression Testing","Regression Testing","com.gecom.CategoriesTests.DeleteCategory","com.gecom.CategoriesTests.DeleteCategory","testUserCannotDeleteCategory","TC-CAT-006: Verify user cannot delete CATEGORY",""
"passed","Tue Dec 09 18:49:41 UTC 2025","Tue Dec 09 18:49:41 UTC 2025","46","Regression Testing","Regression Testing","com.gecom.ProductsTest.UpdateProducts","com.gecom.ProductsTest.UpdateProducts","testUpdateStockFailsForNonExistentProduct","TC-PROD-022: Verify update STOCK fails for non-existent product",""
"passed","Tue Dec 09 18:49:43 UTC 2025","Tue Dec 09 18:49:44 UTC 2025","161","Regression Testing","Regression Testing","com.gecom.ProductsTest.LikeProducts","com.gecom.ProductsTest.LikeProducts","testUserCannotUnlikeAnotherUsersLike","TC-PROD-033: Verify user cannot unlike another user's like",""
"passed","Tue Dec 09 18:49:40 UTC 2025","Tue Dec 09 18:49:40 UTC 2025","97","Regression Testing","Regression Testing","com.gecom.CategoriesTests.CreatCategory","com.gecom.CategoriesTests.CreatCategory","testAdminCanCreateCategory","TC-CAT-001: Verify admin can create CATEGORY",""
"passed","Tue Dec 09 18:49:45 UTC 2025","Tue Dec 09 18:49:45 UTC 2025","96","Regression Testing","Regression Testing","com.gecom.OrdersTest.CreateOrders","com.gecom.OrdersTest.CreateOrders","testCreateOrderFailsWithEmptyCart","TC-ORDER-002: Verify create order fails with empty cart",""
"passed","Tue Dec 09 18:49:40 UTC 2025","Tue Dec 09 18:49:40 UTC 2025","53","Regression Testing","Regression Testing","com.gecom.UsersTest.DeleteUsers","com.gecom.UsersTest.DeleteUsers","testUserCannotDeleteUser","TC-USER-009: Verify user cannot delete user",""
"passed","Tue Dec 09 18:49:39 UTC 2025","Tue Dec 09 18:49:39 UTC 2025","58","Regression Testing","Regression Testing","com.gecom.UsersTest.GetUsers","com.gecom.UsersTest.GetUsers","testUserCannotViewUserActivity","TC-USER-013: Verify user cannot view user activity",""
